,order_status,customer,order_date,order_quantity,sales,discount,discount_value,product_category,product_sub_category
37,Order Finished,Frank Price,2010-04-29,12,237940,0.09,21415,Furniture,Office Furnishings
38,Order Finished,Michelle Lonsdale,2011-12-31,8,123743,0.0,0,Technology,Telephones & Communication
40,Order Finished,Joy Bell,2011-11-12,44,7844840,0.08,627587,Furniture,Office Furnishings
43,Order Finished,Grant Carroll,2012-07-21,40,510960,0.04,20438,Office Supplies,Paper
44,Order Finished,Adrian Hane,2012-06-12,11,624720,0.07,43730,Office Supplies,Pens & Art Supplies
46,Order Finished,Andrew Gjertsen,2010-06-04,40,872340,0.08,69787,Office Supplies,Storage & Organization
47,Order Finished,Ralph Knight,2010-02-18,18,272580,0.05,13629,Office Supplies,Binders & Binder Accessories
48,Order Finished,Dorothy Wardle,2011-11-16,32,2622500,0.0,0,Technology,Computer Peripherals
49,Order Finished,Grant Carroll,2011-08-07,22,12792400,0.02,255848,Furniture,Chairs & Chairmats
52,Order Finished,Sylvia Foulston,2011-08-28,4,2533440,0.04,101338,Furniture,Chairs & Chairmats
55,Order Finished,Beth Paige,2011-05-17,5,48320,0.08,3866,Office Supplies,Binders & Binder Accessories
57,Order Finished,Bryan Davis,2011-10-10,7,4079120,0.04,163165,Office Supplies,Storage & Organization
64,Order Finished,Doug Bickford,2011-05-27,25,1709760,0.09,153878,Furniture,Office Furnishings
66,Order Finished,Anthony Johnson,2011-08-19,20,801140,0.05,40057,Office Supplies,Paper
70,Order Finished,Doug Bickford,2010-04-12,15,3039800,0.09,273582,Furniture,Office Furnishings
71,Order Finished,Carl Jackson,2010-08-24,30,204480,0.09,18403,Office Supplies,Labels
72,Order Finished,Brendan Dodson,2011-07-04,6,1931380,0.0,0,Furniture,Tables
77,Order Finished,Hunter Glantz,2012-03-23,5,73720,0.07,5160,Office Supplies,Binders & Binder Accessories
80,Order Finished,Jim Radford,2009-03-03,34,148600,0.08,11888,Furniture,Office Furnishings
84,Order Finished,Grant Carroll,2009-09-11,40,921360,0.01,9214,Office Supplies,Storage & Organization
89,Order Finished,Doug Bickford,2011-10-09,1,80200,0.09,7218,Office Supplies,Binders & Binder Accessories
90,Order Finished,Beth Thompson,2012-10-23,34,10701220,0.09,963110,Furniture,Bookcases
91,Order Finished,Ralph Knight,2012-01-08,15,621740,0.07,43522,Technology,Computer Peripherals
93,Order Returned,Dorothy Badders,2011-01-27,42,567160,0.03,17015,Furniture,Office Furnishings
94,Order Finished,Delfina Latchford,2009-08-27,50,4132320,0.02,82646,Office Supplies,Paper
95,Order Finished,Julia West,2011-03-17,18,9210720,0.02,184214,Furniture,Chairs & Chairmats
96,Order Finished,Brad Eason,2012-06-06,31,852680,0.0,0,Furniture,Office Furnishings
97,Order Finished,Thomas Seio,2011-04-11,36,3674880,0.01,36749,Furniture,Bookcases
99,Order Finished,Michelle Lonsdale,2012-05-16,3,242240,0.1,24224,Technology,Computer Peripherals
102,Order Finished,Don Jones,2009-07-22,9,505580,0.09,45502,Office Supplies,Binders & Binder Accessories
103,Order Finished,Carlos Soltero,2010-05-09,10,101940,0.09,9175,Office Supplies,Pens & Art Supplies
104,Order Finished,Nicole Hansen,2009-02-18,30,21109260,0.09,1899833,Furniture,Chairs & Chairmats
107,Order Finished,Carlos Soltero,2010-04-15,25,289680,0.09,26071,Office Supplies,Paper
109,Order Finished,Muhammed Mac Intyre,2010-09-21,7,3621340,0.09,325921,Furniture,Chairs & Chairmats
110,Order Finished,Muhammed Mac Intyre,2010-08-17,31,1267120,0.09,114041,Technology,Computer Peripherals
111,Order Finished,Don Miller,2009-09-16,27,1288800,0.04,51552,Office Supplies,Paper
112,Order Finished,Sylvia Foulston,2009-06-22,7,2423960,0.1,242396,Furniture,Chairs & Chairmats
115,Order Finished,Ann Chong,2009-10-09,30,228240,0.05,11412,Office Supplies,Binders & Binder Accessories
116,Order Finished,Clay Rozendal,2010-12-05,9,346834,0.0,0,Technology,Telephones & Communication
118,Order Returned,Brendan Dodson,2009-07-27,21,512240,0.03,15367,Office Supplies,Appliances
120,Order Finished,Alan Barnes,2009-01-11,31,2286900,0.06,137214,Technology,Computer Peripherals
121,Order Finished,Alan Barnes,2010-08-15,2,84620,0.06,5077,Technology,Office Machines
122,Order Finished,Nicole Hansen,2009-08-05,49,165220,0.08,13218,Office Supplies,Pens & Art Supplies
124,Order Finished,Chad Cunningham,2011-10-22,42,870480,0.08,69638,Office Supplies,Paper
126,Order Finished,Adrian Hane,2010-07-03,32,109560,0.02,2191,Office Supplies,Pens & Art Supplies
127,Order Returned,Rick Reed,2009-01-30,31,32133700,0.07,2249359,Technology,Office Machines
129,Order Finished,Fred Wasserman,2009-08-10,35,3330079,0.02,66602,Technology,Telephones & Communication
130,Order Finished,Becky Castell,2010-04-01,21,2099580,0.08,167966,Furniture,Office Furnishings
131,Order Finished,Beth Thompson,2010-07-31,49,931660,0.1,93166,Furniture,Office Furnishings
132,Order Finished,Claudia Miner,2009-05-29,13,483412,0.0,0,Technology,Telephones & Communication
135,Order Finished,Carlos Soltero,2011-02-08,13,243320,0.03,7300,Office Supplies,Binders & Binder Accessories
137,Order Returned,Julia West,2009-01-06,30,52266780,0.04,2090671,Furniture,Bookcases
139,Order Finished,Joy Bell,2010-08-26,26,1063320,0.08,85066,Technology,Computer Peripherals
144,Order Finished,Bryan Mills,2011-08-10,23,2006620,0.01,20066,Furniture,Office Furnishings
146,Order Finished,Sylvia Foulston,2012-06-28,47,19267180,0.06,1156031,Furniture,Chairs & Chairmats
147,Order Finished,Carl Ludwig,2011-03-23,6,287560,0.04,11502,Furniture,Office Furnishings
150,Order Finished,Mike Pelletier,2010-07-29,29,1186640,0.03,35599,Technology,Computer Peripherals
153,Order Finished,Charles Mc Crossin,2010-08-20,49,241540,0.03,7246,Office Supplies,Rubber Bands
154,Order Finished,Annie Cyprus,2010-06-27,22,1591480,0.0,0,Furniture,Chairs & Chairmats
155,Order Finished,Carlos Soltero,2012-10-29,36,1394820,0.04,55793,Office Supplies,Paper
156,Order Finished,Doug Bickford,2010-01-16,30,9369800,0.01,93698,Furniture,Bookcases
161,Order Finished,Sylvia Foulston,2009-09-04,8,101400,0.08,8112,Office Supplies,Binders & Binder Accessories
164,Order Finished,Heather Kirkland,2009-03-11,11,2128460,0.06,127708,Technology,Computer Peripherals
165,Order Finished,Henry Goldwyn,2011-06-04,3,148100,0.02,2962,Furniture,Office Furnishings
166,Order Finished,Frank Price,2012-03-02,37,11507700,0.0,0,Technology,Office Machines
168,Order Finished,Ralph Knight,2009-09-01,32,418840,0.1,41884,Office Supplies,Paper
170,Order Finished,Roy Skaria,2011-09-02,1,465340,0.02,9307,Office Supplies,Binders & Binder Accessories
171,Order Finished,Monica Federle,2012-02-07,1,124520,0.09,11207,Office Supplies,Paper
174,Order Finished,Jeremy Lonsdale,2009-09-25,37,3202480,0.08,256198,Office Supplies,Appliances
175,Order Finished,Grant Carroll,2012-07-09,2,49920,0.05,2496,Office Supplies,Binders & Binder Accessories
178,Order Finished,Ralph Knight,2009-10-08,15,1645685,0.1,164569,Technology,Telephones & Communication
180,Order Finished,Claudia Miner,2012-04-15,10,110040,0.08,8803,Technology,Computer Peripherals
183,Order Finished,Edward Hooks,2009-07-02,50,562780,0.1,56278,Office Supplies,Binders & Binder Accessories
186,Order Cancelled,Grant Carroll,2011-11-25,49,38650400,0.05,1932520,Office Supplies,Binders & Binder Accessories
187,Order Returned,Brad Eason,2012-04-25,11,70340,0.03,2110,Office Supplies,Labels
190,Order Finished,Bryan Mills,2010-10-23,36,3910153,0.06,234609,Technology,Telephones & Communication
192,Order Finished,Michelle Lonsdale,2011-06-09,6,509520,0.06,30571,Furniture,Office Furnishings
194,Order Finished,Beth Thompson,2009-05-01,2,1578020,0.07,110461,Office Supplies,Storage & Organization
195,Order Finished,Cindy Schnelling,2012-05-11,4,195140,0.04,7806,Furniture,Office Furnishings
196,Order Finished,Nicole Hansen,2010-10-15,26,643360,0.04,25734,Office Supplies,Appliances
197,Order Finished,Cari Schnelling,2011-07-23,12,7342600,0.04,293704,Office Supplies,Appliances
198,Order Finished,Roy Skaria,2011-07-11,14,806340,0.02,16127,Office Supplies,Binders & Binder Accessories
202,Order Finished,Chad Cunningham,2010-10-20,4,81440,0.1,8144,Office Supplies,Paper
203,Order Finished,Carlos Daly,2010-08-30,8,2438380,0.02,48768,Technology,Office Machines
208,Order Finished,Don Jones,2012-08-28,24,2701062,0.01,27011,Technology,Telephones & Communication
209,Order Finished,Beth Thompson,2011-07-31,20,200800,0.06,12048,Office Supplies,Paper
210,Order Finished,Alan Barnes,2012-10-06,11,61020,0.09,5492,Office Supplies,Pens & Art Supplies
212,Order Finished,Jamie Kunitz,2011-10-17,13,743880,0.05,37194,Office Supplies,Paper
213,Order Finished,Heather Kirkland,2009-08-20,31,698860,0.04,27954,Office Supplies,Binders & Binder Accessories
215,Order Finished,Carlos Daly,2010-02-27,31,30503000,0.06,1830180,Technology,Office Machines
218,Order Finished,Thomas Seio,2010-10-07,49,399720,0.03,11992,Office Supplies,Appliances
220,Order Returned,Charlotte Melton,2010-06-09,31,296340,0.0,0,Office Supplies,Rubber Bands
221,Order Finished,Beth Thompson,2011-01-10,39,434500,0.07,30415,Office Supplies,Pens & Art Supplies
222,Order Finished,Eugene Barchas,2009-01-30,23,723300,0.08,57864,Technology,Computer Peripherals
224,Order Finished,Grant Carroll,2010-11-22,6,1653947,0.01,16539,Technology,Telephones & Communication
225,Order Finished,Beth Paige,2011-05-30,33,1998452,0.02,39969,Technology,Telephones & Communication
227,Order Finished,Muhammed Mac Intyre,2010-06-08,24,2336300,0.04,93452,Office Supplies,Storage & Organization
228,Order Returned,Charlotte Melton,2009-11-29,47,363560,0.02,7271,Office Supplies,Rubber Bands
229,Order Finished,Muhammed Mac Intyre,2012-09-01,46,2368640,0.09,213178,Technology,Computer Peripherals
231,Order Finished,Brendan Dodson,2012-05-21,32,736360,0.07,51545,Office Supplies,Storage & Organization
233,Order Returned,Mike Pelletier,2010-08-27,1,209700,0.07,14679,Furniture,Office Furnishings
234,Order Finished,Edward Hooks,2012-08-17,47,512000,0.03,15360,Office Supplies,Paper
238,Order Finished,Cindy Schnelling,2009-02-27,14,142940,0.06,8576,Technology,Computer Peripherals
239,Order Finished,Heather Kirkland,2010-06-07,10,1136671,0.02,22733,Technology,Telephones & Communication
241,Order Returned,Hunter Glantz,2012-02-23,26,2726000,0.04,109040,Furniture,Chairs & Chairmats
242,Order Returned,Julia West,2009-10-15,23,2808440,0.1,280844,Furniture,Office Furnishings
243,Order Finished,Carlos Daly,2009-03-13,3,35040,0.05,1752,Office Supplies,Binders & Binder Accessories
244,Order Cancelled,N UL L,2009-03-13,3,35040,0.05,1752,Office Supplies,Binders & Binder Accessories
245,Order Finished,Barry French,2010-03-12,36,8547600,0.06,512856,Furniture,Chairs & Chairmats
246,Order Finished,Susan Vittorini,2009-07-07,25,384360,0.02,7687,Office Supplies,Binders & Binder Accessories
249,Order Finished,Charlotte Melton,2011-09-22,7,240060,0.02,4801,Office Supplies,Storage & Organization
250,Order Finished,Beth Thompson,2011-07-21,1,37840,0.0,0,Office Supplies,Binders & Binder Accessories
253,Order Finished,Beth Paige,2010-02-06,15,2125918,0.07,148814,Technology,Telephones & Communication
256,Order Finished,Susan Vittorini,2009-05-30,4,7021640,0.05,351082,Office Supplies,Binders & Binder Accessories
259,Order Finished,Jamie Kunitz,2010-07-03,20,410660,0.0,0,Furniture,Office Furnishings
262,Order Finished,Fred Wasserman,2009-04-27,40,4411517,0.03,132346,Technology,Telephones & Communication
263,Order Finished,Susan Vittorini,2012-04-07,21,1048400,0.04,41936,Office Supplies,Envelopes
264,Order Finished,Doug Bickford,2010-12-31,39,13106900,0.03,393207,Office Supplies,Envelopes
265,Order Finished,Claudia Miner,2010-02-02,45,994280,0.05,49714,Office Supplies,Envelopes
266,Order Finished,Frank Price,2012-04-15,19,221340,0.08,17707,Office Supplies,Binders & Binder Accessories
268,Order Finished,Allen Rosenblatt,2009-07-27,15,61360,0.02,1227,Furniture,Office Furnishings
269,Order Finished,Dorothy Wardle,2009-03-31,1,108154,0.07,7571,Technology,Telephones & Communication
271,Order Finished,Ralph Knight,2010-09-01,40,13579855,0.08,1086388,Technology,Telephones & Communication
273,Order Finished,Charlotte Melton,2010-05-07,37,5044420,0.0,0,Furniture,Office Furnishings
274,Order Finished,Allen Rosenblatt,2011-08-25,39,1361717,0.05,68086,Technology,Telephones & Communication
277,Order Finished,Monica Federle,2011-01-17,34,432600,0.01,4326,Office Supplies,Labels
279,Order Finished,Susan Vittorini,2011-06-09,43,308360,0.08,24669,Office Supplies,Binders & Binder Accessories
280,Order Returned,Charles Mc Crossin,2012-06-26,27,604400,0.04,24176,Office Supplies,"Scissors, Rulers & Trimmers"
282,Order Finished,Doug Bickford,2010-11-13,8,104780,0.08,8382,Furniture,Office Furnishings
283,Order Finished,Don Miller,2009-11-14,12,122180,0.04,4887,Office Supplies,Labels
287,Order Finished,Joy Bell,2009-03-06,26,3047000,0.07,213290,Office Supplies,Appliances
288,Order Finished,Claudia Miner,2011-02-17,5,1512300,0.06,90738,Technology,Office Machines
289,Order Finished,Beth Thompson,2011-11-19,12,2647340,0.04,105894,Furniture,Office Furnishings
295,Order Finished,Becky Castell,2009-12-09,9,128061,0.06,7684,Technology,Telephones & Communication
297,Order Finished,Cari Schnelling,2010-12-24,2,583320,0.08,46666,Furniture,Office Furnishings
301,Order Finished,Mike Pelletier,2010-03-05,1,35780,0.04,1431,Office Supplies,Labels
303,Order Finished,Susan Vittorini,2009-01-05,6,1401460,0.08,112117,Technology,Office Machines
304,Order Finished,Andrew Gjertsen,2010-11-25,28,1335100,0.0,0,Office Supplies,Pens & Art Supplies
312,Order Finished,Don Jones,2010-11-23,20,3166120,0.05,158306,Office Supplies,Appliances
314,Order Finished,Ralph Arnett,2011-01-04,17,414380,0.01,4144,Office Supplies,Pens & Art Supplies
315,Order Finished,Nicole Hansen,2009-08-02,31,393480,0.09,35413,Furniture,Office Furnishings
318,Order Finished,Ralph Arnett,2010-12-28,14,4464120,0.03,133924,Office Supplies,Storage & Organization
319,Order Finished,Doug Bickford,2012-10-10,7,774340,0.1,77434,Technology,Computer Peripherals
322,Order Finished,Dorothy Wardle,2012-04-11,1,5457300,0.0,0,Technology,Office Machines
323,Order Finished,Ralph Knight,2010-02-16,13,1471080,0.0,0,Office Supplies,Paper
324,Order Finished,Sylvia Foulston,2010-09-24,47,2120121,0.1,212012,Technology,Telephones & Communication
325,Order Finished,Neola Schneider,2009-02-21,39,398780,0.1,39878,Office Supplies,Labels
326,Order Returned,Grant Carroll,2012-11-11,32,3764240,0.05,188212,Office Supplies,Binders & Binder Accessories
329,Order Finished,Susan Vittorini,2010-05-07,24,120720,0.03,3622,Office Supplies,Binders & Binder Accessories
336,Order Returned,Beth Thompson,2011-01-28,10,533880,0.09,48049,Technology,Computer Peripherals
337,Order Finished,Andrew Gjertsen,2012-09-08,7,167620,0.09,15086,Office Supplies,Labels
340,Order Finished,Cari Schnelling,2012-04-22,20,1926600,0.06,115596,Office Supplies,Paper
343,Order Finished,Brendan Dodson,2010-05-20,36,566420,0.08,45314,Office Supplies,Binders & Binder Accessories
344,Order Finished,Harold Engle,2009-12-02,42,1115700,0.05,55785,Office Supplies,Binders & Binder Accessories
346,Order Finished,Helen Abelman,2010-09-25,38,4142679,0.06,248561,Technology,Telephones & Communication
347,Order Finished,Guy Armstrong,2012-11-19,14,445820,0.05,22291,Technology,Computer Peripherals
351,Order Finished,Erica Bern,2012-06-29,46,14882580,0.1,1488258,Office Supplies,Binders & Binder Accessories
352,Order Finished,Erica Bern,2009-02-01,17,110900,0.01,1109,Office Supplies,Labels
354,Order Finished,Guy Armstrong,2009-06-20,42,867360,0.07,60715,Office Supplies,Envelopes
357,Order Returned,Roy French,2011-09-02,30,1865784,0.05,93289,Technology,Telephones & Communication
358,Order Finished,Roy French,2011-04-14,36,11955260,0.1,1195526,Office Supplies,Appliances
359,Order Finished,Jennifer Braxton,2011-02-13,6,1812040,0.1,181204,Furniture,Bookcases
361,Order Finished,Evan Minnotte,2010-08-10,38,1742500,0.06,104550,Office Supplies,Pens & Art Supplies
364,Order Finished,Harold Engle,2012-05-26,39,4166105,0.09,374949,Technology,Telephones & Communication
365,Order Finished,Hilary Holden,2012-09-10,32,6491460,0.09,584231,Furniture,Office Furnishings
366,Order Finished,Christopher Schild,2011-03-16,31,218980,0.04,8759,Office Supplies,Pens & Art Supplies
368,Order Finished,Greg Guthrie,2011-01-11,6,34000,0.07,2380,Office Supplies,Binders & Binder Accessories
371,Order Finished,Erica Bern,2009-02-02,38,6305500,0.04,252220,Technology,Computer Peripherals
373,Order Finished,Erica Bern,2012-03-06,42,3363200,0.07,235424,Technology,Computer Peripherals
375,Order Finished,Evan Minnotte,2010-07-24,48,586600,0.04,23464,Office Supplies,Paper
377,Order Finished,Paul Gonzalez,2011-03-07,44,452360,0.01,4524,Furniture,Office Furnishings
379,Order Finished,Joy Smith,2009-08-04,43,482380,0.08,38590,Office Supplies,Paper
383,Order Finished,Greg Guthrie,2010-08-06,27,18587640,0.08,1487011,Office Supplies,Appliances
385,Order Finished,Joy Smith,2009-10-02,27,1132240,0.03,33967,Furniture,Office Furnishings
387,Order Finished,Chuck Magee,2009-06-24,16,356800,0.04,14272,Furniture,Office Furnishings
389,Order Finished,Jack Lebron,2012-01-20,38,1904940,0.03,57148,Technology,Office Machines
391,Order Finished,Harold Engle,2012-03-15,3,635900,0.1,63590,Furniture,Bookcases
394,Order Returned,Evan Minnotte,2010-12-22,10,618600,0.05,30930,Technology,Computer Peripherals
399,Order Finished,Jack Lebron,2012-12-03,24,3379940,0.06,202796,Office Supplies,Appliances
400,Order Finished,Filia Mc Adams,2010-09-06,20,224060,0.05,11203,Office Supplies,Binders & Binder Accessories
402,Order Finished,Giulietta Baptist,2010-08-20,16,205000,0.1,20500,Office Supplies,Pens & Art Supplies
405,Order Returned,Carlos Soltero,2009-12-19,38,2966880,0.04,118675,Technology,Computer Peripherals
406,Order Finished,Harold Engle,2011-04-29,45,1000960,0.08,80077,Office Supplies,Storage & Organization
409,Order Finished,Jack Lebron,2010-04-11,31,6413930,0.08,513114,Technology,Telephones & Communication
410,Order Finished,Filia Mc Adams,2009-01-24,30,13308780,0.1,1330878,Furniture,Chairs & Chairmats
411,Order Finished,Greg Guthrie,2010-11-17,42,478700,0.05,23935,Office Supplies,Envelopes
413,Order Finished,Philip Brown,2010-08-03,15,44900,0.03,1347,Office Supplies,Rubber Bands
417,Order Finished,Carlos Soltero,2012-10-30,16,184120,0.1,18412,Office Supplies,Envelopes
418,Order Finished,Erica Bern,2009-07-15,40,393000,0.08,31440,Office Supplies,Binders & Binder Accessories
421,Order Finished,Joy Smith,2012-07-07,15,1144865,0.05,57243,Technology,Telephones & Communication
422,Order Finished,Christopher Schild,2009-03-27,41,644060,0.06,38644,Technology,Computer Peripherals
424,Order Finished,Christopher Schild,2011-03-28,1,53360,0.04,2134,Furniture,Office Furnishings
427,Order Finished,Philip Brown,2009-09-16,44,568760,0.04,22750,Office Supplies,Paper
429,Order Finished,Jennifer Braxton,2010-09-11,29,4093620,0.02,81872,Office Supplies,Binders & Binder Accessories
432,Order Finished,Carlos Soltero,2010-12-30,13,2545660,0.04,101826,Technology,Computer Peripherals
434,Order Finished,Jack Lebron,2009-12-23,38,46511220,0.0,0,Technology,Copiers & Fax
435,Order Finished,Guy Armstrong,2012-10-31,8,46380,0.02,928,Office Supplies,Pens & Art Supplies
437,Order Finished,Jack Lebron,2012-04-14,4,124900,0.08,9992,Office Supplies,Appliances
438,Order Finished,Erica Bern,2011-05-13,42,305100,0.06,18306,Office Supplies,Envelopes
443,Order Finished,Harold Engle,2010-12-03,24,4579840,0.09,412186,Office Supplies,Paper
444,Order Finished,Philip Brown,2011-12-18,36,3547720,0.06,212863,Furniture,Chairs & Chairmats
445,Order Finished,Giulietta Baptist,2012-08-09,44,1730540,0.03,51916,Technology,Computer Peripherals
446,Order Finished,Paul Gonzalez,2010-08-24,31,683420,0.04,27337,Office Supplies,Binders & Binder Accessories
447,Order Finished,Logan Haushalter,2011-05-22,46,1296520,0.07,90756,Office Supplies,Binders & Binder Accessories
450,Order Finished,Erica Bern,2009-02-04,50,2883140,0.07,201820,Technology,Computer Peripherals
454,Order Finished,Carlos Soltero,2009-02-15,23,186100,0.03,5583,Office Supplies,Binders & Binder Accessories
458,Order Returned,Greg Guthrie,2009-12-25,8,730440,0.04,29218,Office Supplies,Appliances
460,Order Finished,Erica Bern,2009-01-18,47,1344920,0.1,134492,Office Supplies,Envelopes
461,Order Finished,Jim Sink,2012-05-20,49,16446140,0.06,986768,Technology,Telephones & Communication
463,Order Finished,Evan Minnotte,2009-09-05,11,10310700,0.0,0,Technology,Office Machines
464,Order Returned,Guy Armstrong,2009-11-03,7,1077020,0.0,0,Furniture,Bookcases
468,Order Returned,Carlos Soltero,2010-11-23,43,2580413,0.06,154825,Technology,Telephones & Communication
470,Order Finished,Greg Guthrie,2010-03-29,34,490800,0.0,0,Office Supplies,Paper
472,Order Finished,Greg Guthrie,2011-01-31,21,1696400,0.06,101784,Office Supplies,Appliances
475,Order Finished,Joy Smith,2009-11-10,13,2144440,0.03,64333,Technology,Computer Peripherals
476,Order Finished,Guy Armstrong,2010-06-14,14,3932520,0.06,235951,Office Supplies,Storage & Organization
479,Order Finished,Guy Armstrong,2012-11-29,36,4078164,0.01,40782,Technology,Telephones & Communication
480,Order Finished,Christopher Schild,2009-04-18,36,9422488,0.06,565349,Technology,Telephones & Communication
484,Order Returned,Brian Moss,2012-01-21,48,2988464,0.04,119539,Technology,Telephones & Communication
485,Order Finished,Harold Engle,2012-01-06,46,2966980,0.02,59340,Office Supplies,Paper
486,Order Finished,Carlos Soltero,2009-12-10,42,516380,0.1,51638,Office Supplies,Paper
487,Order Finished,Hilary Holden,2010-02-12,17,9242200,0.09,831798,Furniture,Chairs & Chairmats
488,Order Finished,Logan Haushalter,2009-06-26,10,310900,0.03,9327,Office Supplies,Binders & Binder Accessories
493,Order Finished,Christopher Schild,2010-02-01,31,1967560,0.04,78702,Technology,Computer Peripherals
497,Order Finished,Giulietta Baptist,2012-05-17,24,4188240,0.0,0,Technology,Computer Peripherals
498,Order Finished,Jim Sink,2010-07-09,34,447180,0.04,17887,Office Supplies,Paper
499,Order Finished,Julie Creighton,2011-10-22,30,577120,0.03,17314,Office Supplies,Pens & Art Supplies
502,Order Finished,Matt Collins,2009-01-05,6,331500,0.03,9945,Technology,Computer Peripherals
503,Order Finished,Justin Knight,2009-05-12,4,85160,0.0,0,Office Supplies,Paper
505,Order Finished,Rob Haberlin,2011-06-23,28,2164900,0.04,86596,Technology,Computer Peripherals
512,Order Finished,Justin Knight,2011-08-31,48,6795440,0.01,67954,Furniture,Office Furnishings
514,Order Finished,Lena Cacioppo,2009-03-22,17,1285800,0.07,90006,Technology,Computer Peripherals
517,Order Finished,Christina Vanderzanden,2010-01-10,32,324500,0.05,16225,Technology,Computer Peripherals
518,Order Finished,Matt Collins,2010-06-26,27,769800,0.07,53886,Office Supplies,Storage & Organization
521,Order Finished,Christina Vanderzanden,2009-02-05,48,279720,0.07,19580,Office Supplies,Pens & Art Supplies
522,Order Finished,Kimberly Carter,2011-11-09,4,54680,0.06,3281,Office Supplies,Paper
527,Order Finished,Justin Knight,2011-12-14,2,38000,0.01,380,Office Supplies,Binders & Binder Accessories
529,Order Finished,Gene Hale,2010-10-01,22,491920,0.03,14758,Office Supplies,Storage & Organization
530,Order Finished,Rob Haberlin,2012-04-27,34,2029740,0.04,81190,Technology,Computer Peripherals
531,Order Finished,Gene Hale,2011-09-24,18,71020,0.02,1420,Office Supplies,Pens & Art Supplies
536,Order Finished,Lena Cacioppo,2010-03-02,29,2197012,0.05,109851,Technology,Telephones & Communication
537,Order Finished,Seth Vernon,2009-06-28,46,320540,0.06,19232,Office Supplies,Binders & Binder Accessories
538,Order Finished,Gene Hale,2009-01-26,30,894660,0.03,26840,Furniture,Office Furnishings
541,Order Finished,Rob Haberlin,2012-10-01,17,448180,0.0,0,Office Supplies,Storage & Organization
544,Order Finished,Justin Knight,2009-07-06,4,62020,0.03,1861,Office Supplies,Binders & Binder Accessories
546,Order Finished,Christina Vanderzanden,2011-12-01,33,542280,0.05,27114,Technology,Computer Peripherals
548,Order Finished,Seth Vernon,2010-06-25,2,97680,0.01,977,Office Supplies,Paper
551,Order Finished,Sanjit Chand,2010-11-04,23,827600,0.08,66208,Furniture,Office Furnishings
553,Order Finished,Anthony Johnson,2009-08-06,9,131620,0.01,1316,Office Supplies,Paper
556,Order Finished,Sanjit Chand,2012-10-08,4,415100,0.08,33208,Office Supplies,Envelopes
559,Order Finished,Anthony Johnson,2009-02-05,23,12266360,0.06,735982,Office Supplies,Appliances
560,Order Finished,Michelle Arnett,2011-09-28,34,5264951,0.01,52650,Technology,Telephones & Communication
561,Order Finished,Luke Weiss,2012-06-05,43,341620,0.1,34162,Office Supplies,Paper
562,Order Finished,Luke Weiss,2010-09-26,46,7560320,0.1,756032,Technology,Office Machines
563,Order Finished,Rob Haberlin,2009-01-21,46,2964020,0.02,59280,Office Supplies,Binders & Binder Accessories
566,Order Finished,Sally Knutson,2012-09-20,19,164860,0.04,6594,Office Supplies,Appliances
568,Order Finished,Julie Creighton,2010-03-19,46,1015280,0.04,40611,Office Supplies,"Scissors, Rulers & Trimmers"
